221,Sons of Anarchy: Men of Mayhem – Grim Bastards Club Expansion,10
221,Formula D,9
221,Alien Frontiers,10
221,Twilight Struggle,10
221,Merchants & Marauders,10
221,Sons of Anarchy: Men of Mayhem,10
221,Merchants & Marauders: Seas of Glory,10
238,Western Legends,9
238,Summoner Wars: Master Set,9
238,Survive: Fuga de Atlântida!,9.2
238,Stuffed Fables,9
238,Tiny Epic Zombies,9
238,CO2: Segunda Chance,9.5
238,Dungeon Drop,8
238,Paladinos do Reino Ocidental,9.5
238,High Society,9
238,The Quest for El Dorado,9.5
238,Hero Realms,9.5
238,The Big Book of Madness,9.5
238,Colt Express,9.1
238,Ricardo Coração de Leão,8
238,La Granja,9
238,Spartacus: Um Jogo de Sangue e Traições,8
238,Lords of Hellas,8.5
238,Draftosaurus,8
238,O Senhor dos Anéis: Jornadas na Terra Média,9.5
238,Tiny Epic Dinosaurs,9.5
238,O Senhor dos Anéis: Card Game,10
238,Tiranos da Umbreterna,10
238,Res Arcana,9.8
238,This War of Mine: The Board Game,9.2
238,InBetween,9
238,Spirit Island,10
238,Arcadia Quest,9
238,The Few and Cursed,8.8
238,Luxor,8.5
238,Valknut,8.2
238,Kick-Ass: The Board Game,9
238,Ninja Camp,7.5
238,Projeto Gaia,9
238,Waterdeep: A Masmorra do Mago Louco - Boardgame,9
238,Tiny Epic Galaxies,8.5
238,Nemesis,9
238,Bloodborne: The Card Game,8.8
238,Masmorra: Dungeons of Arcadia,9
238,Race for the Galaxy,9
238,Valeria: Card Kingdoms,9
238,Azul,8.9
238,Root: Expansão Ribeirinhos,8.7
238,Spartacus: Entre o Lobo e as Serpentes - Expansão,8.6
238,Wingspan,9.5
238,Root,8.7
238,Bode of War,7
238,Citadels (2ª Edição),8.5
238,Clank! Expeditions: Gold and Silk,10
271,Carnavalesco,10
271,Emboscados,10
271,Papertown,10
271,Arraial,8
297,Brazil: Imperial,10
317,Lords of Scotland,10
330,Mar de Mentiras,10
341,A Guerra dos Tronos: Board Game,10
341,Summoner Wars: Elfos da Fênix vs. Orcs da Tundra,7
341,Summoner Wars: Guilda dos Anões vs. Goblins da Caverna,8
344,A Guerra dos Tronos: Board Game,10
344,Spartacus: Entre o Lobo e as Serpentes - Expansão,10
344,Coup,10
344,Kingsburg (2ª Edição),9
344,Tiranos da Umbreterna,9
344,Spartacus: Um Jogo de Sangue e Traições,10
344,Terra Mystica,10
344,Terraforming Mars,10
345,Zombicide: Black Plague,8.5
345,Jaipur,10
345,Five Tribes,9
345,7 Wonders,9.5
345,Guerra do Anel (Segunda Edição),10
345,Survive: Dolphins & Squids & 5-6 Players...Oh My!,8
345,Hell,5
345,Caverna: Cave vs Cave,8
345,Rising Sun,9.5
345,Red7,7.5
345,Survive: Fuga de Atlântida!,8.5
345,Lords of Hellas,9.5
345,Small World,8
345,Hive Pocket,9.5
345,Arcadia Quest,8.8
345,Caverna: The Cave Farmers,9.8
345,Stone Age,9
345,Agricola,10
345,Cyclades,9.5
345,7 Wonders Duel,10
345,Zombie Dice,6
345,Tsuro,7.5
345,Terra Mystica,8.5
345,Sushi Go!,8
345,Pandemic: À Beira do Caos,9
345,Le Havre,9.4
345,The Resistance,8.5
345,Abyss,8.8
345,Power Grid,9.6
345,Zombicide,9
345,Ticket to Ride: Europa,9
345,Pandemic,9
345,A Guerra dos Tronos: Board Game,9.5
345,Carcassonne,9
345,Blood Rage,9
345,Munchkin,4
346,Viagem Pelo Mundo,10
350,A Ilha Proibida,7.5
350,Pandemic,8.5
350,Ubongo,7.7
350,Say Bye to the Villains,7.5
350,Coup,8.8
350,Power Grid,8
350,Zombicide,8.5
350,A Guerra dos Tronos: Board Game,8.8
350,Splendor,8
350,7 Wonders,8.5
350,Munchkin 3: Erros Cléricos,7.5
350,Munchkin 2: Machado Descomunal,7.5
350,Munchkin,8.5
350,Yahtzee,6
350,Catan: O Jogo,7.8
350,Carcassonne,7.5
350,Eldritch Horror,8
351,Parade,10
380,Chronicles of Crime,8
380,The Resistance,10
380,Valeria: Card Kingdoms,8
413,A Guerra dos Tronos: Board Game,8
413,Panamax,8.9
413,Star Wars: X-Wing Miniatures Game,9.5
442,Carcassonne: Caçadores e Coletores,8
442,Infected,6.6
442,Roll Player,7.8
442,Terraforming Mars: Hellas & Elysium,9
442,Get Bit!,7
442,Walk the Plank: Deluxe Edition,7
442,The Batman Who Laughs Rising,6.5
442,Terraforming Mars: Tabuleiro do Jogador em Dois Níveis (Tabuleiro Premium),10
442,Terraforming Mars,8.5
442,Bohnanza: Por um Punhado de Feijões!,8
442,Cleopatra and the Society of Architects: Deluxe Edition,8
442,Bandido,7.5
442,Unreal Estate,6.5
442,Pathfinder - O Jogo de Aventuras,8
442,Manopla do Infinito: Um jogo Love Letter,8
442,Ancient Terrible Things,7.8
442,The Big Book of Madness,8
442,A Ilha Proibida,7
442,Deep Sea Adventure,7
442,Linko!,7
442,A Tripulação,9
442,King of Tokyo/New York: Monster Pack – Anubis,9
442,Kingdomino,7
442,Queendomino,8
442,Azul,7.9
442,WAR: Vikings,5.5
442,Tomb Trader,7.2
442,King of Tokyo/New York: Monster Pack – Cybertooth,8
442,King of Tokyo/New York: Monster Pack #2 – King Kong,7
442,Jamaica: The Crew,8.5
442,Jamaica,7.8
442,Cosmic Encounter: Cosmic Incursion,8
442,Catan Scenarios: Helpers of Catan,9
442,Bejeweled,6.2
442,Monopoly Quebrando a Banca,6
442,Two Rooms and a Boom,7.8
442,Game of Thrones Catan: Brotherhood of the Watch,8
442,King of Tokyo: Power Up (Second Edition),8
442,Spartacus: The Shadow of Death,8
442,Spartacus: Entre o Lobo e as Serpentes - Expansão,8
442,Rising Sun: Daimyo Box,8.8
442,King of Tokyo/New York: Monster Pack #1 – Cthulhu,8
442,Firefly: The Game – Pirates & Bounty Hunters,9
442,Firefly: The Game – Jetwash,9
442,Firefly: The Game – Esmeralda,9
442,Firefly: The Game – Blue Sun,9
442,Firefly: The Game - Breakin' Atmo,9
442,BANG! The Dice Game – Old Saloon,8.5
455,Chicago,10
458,Splendor,10
471,Ishtar: Gardens of Babylon,8.5
471,Dream Home,7.8
471,Mariposas,8.5
471,Azul: Pavilhão de Verão,10
471,Uno,6.5
471,Garum,7.5
471,Lorenzo il Magnifico,8.5
471,Nemesis,1
471,Riverboat,8
471,Paris,8.5
471,Nova Luna,7.8
471,Kingdomino,7.8
471,On Mars,10
471,Marco Polo II: Ao Serviço do Khan,10
471,Robinson Crusoé: Aventuras na Ilha Amaldiçoada ,9
471,Encantados - Segunda Edição,7.5
471,Coal Baron,9
471,Paladinos do Reino Ocidental,8.5
471,Super Trunfo Motos Esportivas,6
471,Pandemic: O Reino de Cthulhu,8
471,Vast: As Cavernas de Cristal,8.4
471,Operando,6
471,Identidade Secreta,6.5
471,Bärenpark,7.8
471,Truco,7
471,Tranca,7
471,Tikal,8.3
471,Santa Maria,8
471,Eldritch Horror: Conhecimento Perdido,9
471,Cry Havoc,9.5
471,Ricardo Coração de Leão,8
471,IceCool,7.3
471,Timeline Clássico,6.8
471,Super Trunfo: Aviões de Caça,6.5
471,Combate,6.5
471,Pula Pirata,6.5
471,Pula Macaco,6.5
471,Pega Varetas,6
471,Clãs da Caledônia,8
471,Cilada,6.7
471,Chronicles of Crime,7.8
471,Banco Imobiliário Retrô Edição 80 Anos,6.8
471,Buraco,7
471,Cai Não Cai,6.5
471,7 Wonders: Líderes,8
471,Village,8.5
471,Blacksmith Brothers,7.5
471,Root,8.5
476,The Castles of Burgundy,10
476,Euphoria: Construindo uma Melhor Distopia,9.5
476,Three Cheers for Master,7.5
476,Five Tribes,9.5
476,Fotossíntese,8
476,Arte Moderna,8.5
476,Maldito Sejas Robin Hood!,6
476,Takenoko,7.5
476,Ave Caesar,6.5
476,Honshu,7.5
476,Mysterium,8
476,No Thanks!,7.5
476,Poquer de Bichos,8
476,Pablo (Primeira Edição),7
476,Academia,10
476,Brasilis,5.5
476,O Vale dos Monstros,6.5
476,Port Royal,7
476,Illegal,7
476,Tesouro Inca,6.5
476,Chariot Race,7.5
476,Matryoshka,7
476,Sociedade dos Salafrários,7.5
476,Piratas! - 2ª Edição,7
476,Horse Fever,9.5
476,7 Wonders,9
476,Colt Express,9
476,Ca$h 'n Guns (second edition),8
476,Camel Up,9
476,Flick 'em Up!,7.5
476,When I Dream,9
476,Dixit,9
476,Dixit: Odyssey,9
476,Secret Hitler,9.5
476,Bang!,7.5
476,Nosferatu,8
476,Decrypto,10
476,Código Secreto,9.5
476,Código Secreto: Imagens,9.5
476,Tabu,10
476,Imagine,8
476,Spyfall,8.5
476,Lifeboat,7.5
476,Saboteur,8.5
476,Mascarade,8.5
476,Bang! The Dice Game,7.5
476,Citadels,8.5
476,Good Cop Bad Cop,8
479,When I Dream,9
479,Quest Edição Família,7
479,Imagem & Ação - No Limite,9
479,Perfil 4,7
479,Tokaido,9
479,Mysterium,7
479,Córtex: Desafios!,8
508,Star Wars: Rebellion,9
508,Tides of Madness,6
508,Tigris & Euphrates,10
508,The Mind,7
508,X nimmt!,8
508,Troyes,9
508,Tokyo Highway (four-player edition),7
508,On Mars,10
508,Cosmic Encounter Duel,7
508,Targi,10
508,Sushi Roll,7
508,Rise of Augustus,7
508,Qwirkle,8
508,Poquer de Bichos,9
508,Optimus,8
508,Matcha,6
508,In Front of the Elevators,8
508,High Society,8
508,Fungi,6
508,Deep Sea Adventure,7
508,Colosseum,7
508,Código Secreto: Dueto,7
508,Archaeology: The New Expedition,7
508,Star Wars: Orla Exterior,8
508,Tzolk'in: O Calendário Maia,7
508,Caverna: The Cave Farmers,6
508,Clãs da Caledônia,7
508,Wingspan,10
508,When I Dream,7
508,Welcome To: Seu Lar Perfeito,7
508,Só Uma,8
508,Concordia,10
508,Chronicles of Crime,7
508,Histórias Sinistras: Crimes Reais,4
508,Battle Line,10
508,Azul: Mosaico de Cristal,7
508,Azul: Joker Tiles,7
508,Arte Moderna,6
508,Mombasa,9
508,Gloomhaven,9
508,Five Tribes,7
508,Through The Ages: Uma Nova História da Civilização,10
508,Mage Knight: Edição Definitiva,7
508,Great Western Trail,7
508,The Castles of Burgundy,10
508,Rising Sun,9
508,Bora Bora,8
508,Bohnanza: Por um Punhado de Feijões!,6
512,Eldritch Horror: Máscaras de Nyarlathotep,8.5
512,Shadows of Brimstone: Undead Outlaws Deluxe Enemy Pack,8.5
512,Shadows of Brimstone: Trederran Raiders Enemy Pack,7
512,Shadows of Brimstone: Treasures of the Void Game Supplement,8
512,Shadows of Brimstone: Targa Artifacts Supplement,8
512,Shadows of Brimstone: Swamp Slugs of Jargono,7
512,Shadows of Brimstone: Serpentmen of Jargono,8
512,Shadows of Brimstone: Murky Confrontations Game Supplement,7
512,Shadows of Brimstone: Masters of the Void,7
512,Shadows of Brimstone: Jargono Artifacts Supplement,7
512,Shadows of Brimstone: Hell Vermin Enemy Pack,7
512,Shadows of Brimstone: Harvesters From Beyond Enemy Pack,7
512,Shadows of Brimstone: Guardian of Targa,7
512,Shadows of Brimstone: Dead Man's Bounty Gear Pack,8
512,Shadows of Brimstone: Dark Stone Shaman Hero Pack,8
512,Shadows of Brimstone: Dark Stone Brutes Enemy Pack,7
512,Shadows of Brimstone: Dark Omens Game Supplement,7
512,Shadows of Brimstone: Caverns of Cynder Artifacts #1 Game Supplement,7
512,Shadows of Brimstone: Blood Money Game Supplement,8
512,Shadows of Brimstone: Ancient Terrors Game Supplement,8
512,O Senhor Dos Anéis: Jornadas Na Terra Média - Caminhos Obscuros,9
512,O Senhor dos Anéis: Jornadas na Terra Média - Vilões de Eriador,8
512,Above and Below,8
512,Endeavor: Age of Sail – Charter Companies Mini-Expansion,10
512,Endeavor: Age of Expansion,10
512,Root: Expansão Ribeirinhos,10
512,Root,10
512,Western Legends,8.5
512,Era: Idade Medieval,8
512,Dark Souls: The Board Game – Explorers Expansion,9
