282,Charterstone,1 a 6 jogadores 
283,Amun-Re,3 a 5 jogadores 
284,Amerigo,2 a 4 jogadores 
285,Pega em 6!,2 a 10 jogadores 
286,When I Dream,4 a 10 jogadores 
287,Sid Meier's Civilization: Um Novo Amanhecer,2 a 4 jogadores 
288,Só Uma,3 a 7 jogadores 
289,Código Secreto: Imagens,2 a 8 jogadores 
290,Flamme Rouge,2 a 4 jogadores 
291,Dice Forge,2 a 4 jogadores 
292,Bruges,2 a 4 jogadores 
293,Fungi,2 jogadores 
294,Carson City: Big Box,2 a 6 jogadores 
295,Zombicide,1 a 6 jogadores 
296,Through the Ages: A Story of Civilization,2 a 4 jogadores 
297,Gùgōng,1 a 5 jogadores 
298,Draftosaurus,2 a 5 jogadores 
299,Roll for the Galaxy,2 a 5 jogadores 
300,Heaven & Ale,2 a 4 jogadores 
301,Cleopatra and the Society of Architects: Deluxe Edition,2 a 4 jogadores 
302,Histórias de Pescador,3 a 7 jogadores 
303,Puerto Rico: Limited Anniversary Edition,2 a 5 jogadores 
304,Ubongo,2 a 4 jogadores 
305,Tsukiji,2 a 4 jogadores 
306,Cuzco,2 a 4 jogadores 
307,Star Wars: Legion,2 jogadores 
308,Above and Below,2 a 4 jogadores 
309,Formula D,2 a 10 jogadores 
310,The Oracle of Delphi,2 a 4 jogadores 
311,Yamataï,2 a 4 jogadores 
312,Colt Express,2 a 6 jogadores 
313,In the Year of the Dragon: 10th Anniversary,2 a 5 jogadores 
314,Letters from Whitechapel,2 a 6 jogadores 
315,Victorian Masterminds,2 a 4 jogadores 
316,Xia: Legends of a Drift System,3 a 5 jogadores 
317,Caylus 1303,2 a 5 jogadores 
318,Lords of Xidit,3 a 5 jogadores 
319,As Lendas de Andor,2 a 4 jogadores 
320,Summoner Wars: Guild Dwarves vs Cave Goblins,2 jogadores 
321,Kanban: Automotive Revolution,2 a 4 jogadores 
322,Abyss,2 a 4 jogadores 
323,Mare Nostrum: Empires,3 a 5 jogadores 
324,Camel Up,2 a 8 jogadores 
325,Battle for Rokugan,2 a 5 jogadores 
326,Arkham Horror (2ª Edição),1 a 8 jogadores 
327,Antiquity,2 a 4 jogadores 
328,Saboteur,3 a 10 jogadores 
329,The Quacks of Quedlinburg,2 a 4 jogadores 
330,Capitão Sonar,2 a 8 jogadores 
331,Age of Steam,2 a 5 jogadores 
332,Gnomopolis,1 a 4 jogadores 
333,Quadropolis,2 a 4 jogadores 
334,Fields of Green,2 a 4 jogadores 
335,Castles of Mad King Ludwig,1 a 4 jogadores 
336,Dungeon Lords: Happy Anniversary,2 a 4 jogadores 
337,Ticket to Ride: Países Nórdicos,2 a 3 jogadores 
338,Cosmos,1 a 4 jogadores 
339,Paris,2 a 4 jogadores 
340,Macao,2 a 4 jogadores 
341,Karuba,2 a 4 jogadores 
342,Black Angel,1 a 4 jogadores 
343,The Castles of Burgundy (20th anniversary edition),1 a 4 jogadores 
344,Betrayal at House on the Hill,3 a 6 jogadores 
345,Fotossíntese,2 a 4 jogadores 
346,Cthulhu Wars,3 a 4 jogadores 
347,Arte Moderna,3 a 5 jogadores 
348,Kingdom Builder: Big Box,2 a 5 jogadores 
349,Mariposas,2 a 5 jogadores 
350,Dobble,2 a 8 jogadores 
351,Pixadores,2 a 5 jogadores 
352,Sons of Anarchy: Men of Mayhem,3 a 4 jogadores 
353,Magic Maze,1 a 8 jogadores 
354,Shadowrun: Crossfire,1 a 4 jogadores 
355,Dungeons & Dragons: The Legend of Drizzt Board Game,1 a 5 jogadores 
356,Sheriff of Nottingham,3 a 5 jogadores 
357,Hellboy: The Board Game,1 a 4 jogadores 
